,Collisions,DepartDelay,Duration,Emergency Stops,Real time factor,Reason,RouteLength,Running,Teleports,TimeLoss,UPS,Waiting,WaitingTime,clustering_algorithm,dqn,reward_function,scenario,simulation_steps,traffic_light_counts,vehicles_inserted,vehicles_loaded
88,1,2.43,628.52,,21.8249,TraCI requested termination.,inf,3734,1,163.35,49164.535528,59,87.68,None,simple,none,lust,5000,[None],19114,19347
89,2,2.87,638,,18.2563,TraCI requested termination.,inf,3991,2,168.73,43804.191557,113,90.89,None,simple,none,lust,5500,[None],22014,22885
90,2,4.21,645.36,,17.3818,TraCI requested termination.,inf,4141,2,172.96,44071.835735,98,93.11,None,simple,none,lust,6000,[None],25046,25335
91,2,5.57,649.02,,16.1428,TraCI requested termination.,inf,4356,2,175.59,43071.305302,160,94.4,None,simple,none,lust,6500,[None],28185,29232
92,2,6.9,654.5,,18.2112,TraCI requested termination.,inf,4564,2,179.49,50934.727248,242,96.72,None,simple,none,lust,7000,[None],31452,32009
93,2,8.7,659.52,,17.5371,TraCI requested termination.,inf,4727,2,182.69,51239.600113,365,98.5,None,simple,none,lust,7500,[None],34763,36088
94,2,11.51,664.32,,16.9505,TraCI requested termination.,inf,4764,2,185.89,51440.504892,532,100.42,None,simple,none,lust,8000,[None],38143,39006
95,3,14.95,668.46,,15.6284,TraCI requested termination.,inf,4990,3,188.68,49103.939008,545,102.06,None,simple,none,lust,8500,[None],41660,43332
96,3,19.1,672.38,1,16.3842,TraCI requested termination.,inf,4994,3,191.57,53223.834167,587,103.68,None,simple,none,lust,9000,[None],45139,46204
97,"188, Jam",1.59,680.07,723,0.2337,TraCI requested termination.,7722.24,10247,303,187.55,1344.975278,61,104.46,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,3000,"[1, 2, 3, 4, 5, 6, 7]",26879,90381
98,,0.53,420.73,10,1.79416,TraCI requested termination.,inf,1342,,74,1455.907657,1,33.69,clusters_maxabs_3dimensions,simple,simpleRewardFunction,lust,500,"[4, 6, 7]",2153,2176
99,,0.48,510.93,13,1.74229,TraCI requested termination.,inf,1584,,112.41,1802.046637,0,59.62,clusters_maxabs_3dimensions,simple,simpleRewardFunction,lust,1000,"[4, 6, 7]",3424,3741
100,2,0.5,555.32,30,1.74365,TraCI requested termination.,inf,2072,2,129.57,2140.739669,13,70.69,clusters_maxabs_3dimensions,simple,simpleRewardFunction,lust,1500,"[4, 6, 7]",5099,5163
101,2,0.98,575.16,32,1.73787,TraCI requested termination.,inf,2416,2,138.36,2485.531396,8,75.7,clusters_maxabs_3dimensions,simple,simpleRewardFunction,lust,2000,"[4, 6, 7]",7007,7447
102,,1.09,592.71,22,1.70836,TraCI requested termination.,inf,2661,2 (Yield,147.54,2773.163821,11,81.44,clusters_maxabs_3dimensions,simple,simpleRewardFunction,lust,2500,"[4, 6, 7]",9060,9167
