,junction_id,junction_type,x,y,z,isRoundabout,trafficlight_count,avg_lane_speed,lane_speeds_std_deviation,avg_lane_length,lane_length_standard_deviation,edge_types,edge_prioities,number_of_lanes,intl_avg_lane_speed,intl_lane_speeds_std_deviation,intl_avg_lane_length,intl_lane_length_standard_deviation,intl_edge_types,intl_edge_prioities,intl_number_of_lanes,clusters_maxabs_3dimensions,clusters_robust_3dimensions,clusters_combined_3dimensions,clusters_combined_robust_3dimensions
883,769222981,traffic_light,17154.97,6400.42,,False,"[2, 'GS_769222981', [['61733552#0', '61733552#2', 'GS_769222981', 's', 'o'], ['61733555#0', '61733552#2', 'GS_769222981', 's', 'o']]]",13.89,0.0,39.64,12.4,"['highway.tertiary_link', 'highway.tertiary']",5.5,2,0,0,0,0,,0,0,2,3,0,0
884,769222984,traffic_light,17136.63,6420.56,,False,"[9, '769222984', [['-130069187#1', '61733552#0', '769222984', 'r', 'o'], ['-130069187#1', '-130069188', '769222984', 's', 'o'], ['-130069187#1', '130069187#0', '769222984', 't', 'o'], ['130069188', '130069187#0', '769222984', 's', 'o'], ['130069188', '61733552#0', '769222984', 'l', 'o'], ['130069188', '-130069188', '769222984', 't', 'o'], ['7751121#1', '130069187#0', '769222984', 'r', 'o'], ['7751121#1', '61733552#0', '769222984', 's', 'o'], ['7751121#1', '-130069188', '769222984', 'l', 'o']]]",13.89,0.0,28.9,11.9159389055,"['highway.tertiary', 'highway.tertiary', 'highway.tertiary']",6.0,3,0,0,0,0,,0,0,2,3,0,0
885,769222988,traffic_light,17148.26,6424.61,,False,"[9, '769222988', [['-130069188', '-109237007#3', '769222988', 's', 'o'], ['-130069188', '142875853#0', '769222988', 'l', 'o'], ['-130069188', '130069188', '769222988', 't', 'o'], ['109237007#1', '142875853#0', '769222988', 'r', 'o'], ['109237007#1', '130069188', '769222988', 's', 'o'], ['109237007#1', '-109237007#3', '769222988', 't', 'o'], ['130069050#0', '-109237007#3', '769222988', 'r', 'o'], ['130069050#0', '142875853#0', '769222988', 's', 'o'], ['130069050#0', '130069188', '769222988', 'l', 'o']]]",13.89,0.0,190.026666667,163.76898655,"['highway.tertiary', 'highway.tertiary', 'highway.tertiary']",6.0,3,0,0,0,0,,0,0,2,3,8,0
886,772934142,traffic_light,14340.01,4005.79,,False,"[4, 'GS_772934142', [['-108317746#1', '-52928283#1', 'GS_772934142', 's', 'o'], ['52928283#0', '108317746#0', 'GS_772934142', 's', 'o'], ['52928283#0', '4406064#0', 'GS_772934142', 'l', 'o'], ['52928283#0', '-52928283#1', 'GS_772934142', 't', 'o']]]",13.89,0.0,37.42,6.7316565569,"['highway.primary', 'highway.primary', 'highway.primary']",9.0,3,0,0,0,0,,0,0,6,3,0,0
887,774498515,traffic_light,14994.17,16205.79,,False,"[6, 'GS_774498515', [['28372691#0', '37249447#2', 'GS_774498515', 'r', 'o'], ['28372691#0', '155328291#0', 'GS_774498515', 'R', 'o'], ['28372691#0', '49722986#0', 'GS_774498515', 's', 'o'], ['37249447#0', '37249447#2', 'GS_774498515', 's', 'o'], ['37249447#0', '155328291#0', 'GS_774498515', 's', 'o'], ['37249447#0', '49722986#0', 'GS_774498515', 'l', 'o']]]",13.89,0.0,27.89,2.03,"['highway.tertiary_link', 'highway.primary_link']",6.5,2,0,0,0,0,,0,0,9,3,0,0
888,7779099,traffic_light,17842.04,28191.83,,False,"[7, '7779099', [['-4679562', '-275608581', '7779099', 's', 'o'], ['-8441260', '-275608581', '7779099', 'l', 'o'], ['27200750#0', '8441260', '7779099', 'r', 'o'], ['27200750#0', '8441260', '7779099', 'r', 'o'], ['27200750#0', '4679562', '7779099', 's', 'o'], ['27200750#0', '4679562', '7779099', 's', 'o'], ['27200750#0', '-275608581', '7779099', 't', 'o']]]",13.89,0.0,93.444,7.10678436425,"['highway.secondary', 'highway.tertiary', 'highway.secondary', 'highway.secondary', 'highway.secondary']",6.8,5,0,0,0,0,,0,0,7,3,6,0
889,7779108,traffic_light,17704.84,27994.6,,False,"[6, '7779108', [['24537011', '-24537033#1', '7779108', 'r', 'o'], ['24537011', '24537087', '7779108', 's', 'o'], ['24537011', '155498343', '7779108', 'l', 'o'], ['24537033#0', '24537087', '7779108', 'r', 'o'], ['24537033#0', '155498343', '7779108', 's', 'o'], ['24537033#0', '-24537033#1', '7779108', 't', 'o']]]",13.89,0.0,150.04,64.09,"['highway.tertiary', 'highway.tertiary']",6.0,2,0,0,0,0,,0,0,2,3,11,0
890,7779114,traffic_light,17619.3,27992.34,,False,"[9, '7779114', [['-24537033#1', '-5372312#5', '7779114', 's', 'o'], ['-24537033#1', '-304360937#1', '7779114', 'l', 'o'], ['-24537033#1', '24537033#0', '7779114', 't', 'o'], ['304360937#0', '24537033#0', '7779114', 'r', 'o'], ['304360937#0', '-5372312#5', '7779114', 'l', 'o'], ['304360937#0', '-304360937#1', '7779114', 't', 'o'], ['5372312#2', '-304360937#1', '7779114', 'r', 'o'], ['5372312#2', '24537033#0', '7779114', 's', 'o'], ['5372312#2', '-5372312#5', '7779114', 't', 'o']]]",12.0366666667,2.6210091356,113.346666667,19.5778656197,"['highway.tertiary', 'highway.tertiary', 'highway.residential']",5.33333333333,3,0,0,0,0,,0,0,8,0,11,0
891,7780090,traffic_light,19366.55,25569.4,,False,"[12, '7780090', [['-340370878#4', '9702649#0', '7780090', 'r', 'o'], ['-340370878#4', '-340370878#2', '7780090', 's', 'o'], ['-340370878#4', '-4696683#3', '7780090', 'l', 'o'], ['-340370878#4', '340370878#3', '7780090', 't', 'o'], ['340370878#2', '-4696683#3', '7780090', 'r', 'o'], ['340370878#2', '340370878#3', '7780090', 's', 'o'], ['340370878#2', '9702649#0', '7780090', 'l', 'o'], ['340370878#2', '-340370878#2', '7780090', 't', 'o'], ['4696683#2', '340370878#3', '7780090', 'r', 'o'], ['4696683#2', '9702649#0', '7780090', 's', 'o'], ['4696683#2', '-340370878#2', '7780090', 'l', 'o'], ['4696683#2', '-4696683#3', '7780090', 't', 'o']]]",8.33,0.0,139.156666667,16.6883638769,"['highway.primary', 'highway.residential', 'highway.primary']",7.33333333333,3,0,0,0,0,,0,0,3,1,4,0
892,7782687,traffic_light,16621.98,29480.73,,False,"[17, '7782687', [['-4663592#1', '-60695484#1', '7782687', 'r', 'o'], ['-4663592#1', '-26497027', '7782687', 's', 'o'], ['-4663592#1', '4867200', '7782687', 'l', 'o'], ['-4663592#1', '4663592#0', '7782687', 't', 'o'], ['-4867200', '4663592#0', '7782687', 'r', 'o'], ['-4867200', '-60695484#1', '7782687', 's', 'o'], ['-4867200', '-26497027', '7782687', 'l', 'o'], ['-4867200', '4867200', '7782687', 't', 'o'], ['176068072', '4867200', '7782687', 'r', 'o'], ['176068072', '4663592#0', '7782687', 's', 'o'], ['176068072', '-60695484#1', '7782687', 'l', 'o'], ['176068072', '-26497027', '7782687', 't', 'o'], ['60695484#0', '-26497027', '7782687', 'r', 'o'], ['60695484#0', '4867200', '7782687', 's', 'o'], ['60695484#0', '4867200', '7782687', 's', 'o'], ['60695484#0', '4663592#0', '7782687', 'l', 'o'], ['60695484#0', '-60695484#1', '7782687', 't', 'o']]]",16.665,2.775,58.0116666667,16.4699609559,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.primary', 'highway.primary', 'highway.primary']",8.0,6,0,0,0,0,,0,0,0,1,0,0
