Successrate; Neg_Rewards; LearninRate; Discount; Exploration
0,003;-398,5;0;0,2;
0,936;-1879;0,01;0,2;
0,94;-1538;0,02;0,2;
0,946;-1452,5;0,03;0,2;
0,964;-1255,5;0,04;0,2;
0,959;-1152;0,05;0,2;
0,96;-1247;0,06;0,2;
0,952;-1342;0,07;0,2;
0,963;-1183,5;0,08;0,2;
0,972;-1170;0,09;0,2;
0,96;-1268;0,1;0,2;
0,966;-1219,5;0,11;0,2;
0,963;-1122,5;0,12;0,2;
0,958;-1201,5;0,13;0,2;
0,981;-1178,5;0,14;0,2;
0,965;-1151,5;0,15;0,2;
0,971;-1020;0,16;0,2;
0,97;-1047,5;0,17;0,2;
0,966;-1161;0,18;0,2;
0,967;-1148;0,19;0,2;
0,969;-1152;0,2;0,2;
0,975;-1090;0,21;0,2;
0,973;-1226;0,22;0,2;
0,976;-1133,5;0,23;0,2;
0,963;-1136,5;0,24;0,2;
0,963;-1125,5;0,25;0,2;
0,969;-1078;0,26;0,2;
0,971;-1160;0,27;0,2;
0,949;-1106,5;0,28;0,2;
0,968;-1103,5;0,29;0,2;
0,963;-1065,5;0,3;0,2;
0,943;-1076;0,31;0,2;
0,891;-1050;0,32;0,2;
0,979;-1042,5;0,33;0,2;
0,948;-1152;0,34;0,2;
0,882;-1041,5;0,35;0,2;
0,968;-1075,5;0,36;0,2;
0,976;-1110;0,37;0,2;
0,857;-1077,5;0,38;0,2;
0,893;-1064,5;0,39;0,2;
0,797;-1008,5;0,4;0,2;
0,809;-1030,5;0,41;0,2;
0,685;-964;0,42;0,2;
0,939;-1008;0,43;0,2;
0,797;-1030;0,44;0,2;
0,894;-999,5;0,45;0,2;
0,748;-954;0,46;0,2;
0,768;-969;0,47;0,2;
0,668;-902,5;0,48;0,2;
0,758;-926,5;0,49;0,2;
0,743;-936;0,5;0,2;
0,745;-970;0,51;0,2;
0,757;-992,5;0,52;0,2;
0,663;-892,5;0,53;0,2;
0,693;-948,5;0,54;0,2;
0,636;-888,5;0,55;0,2;
0,502;-893;0,56;0,2;
0,384;-769,5;0,57;0,2;
0,498;-844,5;0,58;0,2;
0,37;-799,5;0,59;0,2;
0,352;-768,5;0,6;0,2;
0,404;-786;0,61;0,2;
0,452;-775;0,62;0,2;
0,359;-741,5;0,63;0,2;
0,451;-820,5;0,64;0,2;
0,3;-767,5;0,65;0,2;
0,351;-782,5;0,66;0,2;
0,23;-707;0,67;0,2;
0,206;-672,5;0,68;0,2;
0,236;-646,5;0,69;0,2;
0,171;-679;0,7;0,2;
0,094;-624,5;0,71;0,2;
0,084;-609,5;0,72;0,2;
0,093;-596;0,73;0,2;
0,055;-603,5;0,74;0,2;
0,088;-570;0,75;0,2;
0,07;-578;0,76;0,2;
0,081;-542,5;0,77;0,2;
0,049;-582;0,78;0,2;
0,054;-583;0,79;0,2;
0,035;-566;0,8;0,2;
0,075;-553,5;0,81;0,2;
0,089;-590,5;0,82;0,2;
0,072;-534,5;0,83;0,2;
0,067;-536,5;0,84;0,2;
0,036;-574,5;0,85;0,2;
0,062;-550,5;0,86;0,2;
0,04;-544,5;0,87;0,2;
0,094;-553;0,88;0,2;
0,071;-572;0,89;0,2;
0,064;-549;0,9;0,2;
0,067;-569;0,91;0,2;
0,099;-599;0,92;0,2;
0,067;-548;0,93;0,2;
0,061;-551;0,94;0,2;
0,046;-523;0,95;0,2;
0,065;-548,5;0,96;0,2;
0,06;-532,5;0,97;0,2;
0,082;-560;0,98;0,2;
0,091;-534,5;0,99;0,2;
