,junction_id,junction_type,x,y,z,isRoundabout,connections,avg_lane_speed,lane_speeds_std_deviation,avg_lane_length,lane_length_standard_deviation,edge_types,edge_prioities,number_of_lanes,intl_connections,intl_avg_lane_speed,intl_lane_speeds_std_deviation,intl_avg_lane_length,intl_lane_length_standard_deviation,intl_edge_types,intl_edge_prioities,intl_number_of_lanes,clusters_maxabs_3dimensions,clusters_robust_3dimensions,clusters_combined_3dimensions,clusters_combined_robust_3dimensions
12,116074556,traffic_light,24774.08,2136.1,,False,"[[['12703113#7', '-12703113#8', 'GS_116074556', 't', 'o']], [['-12703310#3', '12703310#0', 'GS_116074556', 't', 'o']], [['-12703113#11', '12703113#9', 'GS_116074556', 't', 'o']]]",8.33,0.0,102.686666667,70.0101498991,"['highway.residential', 'highway.residential', 'highway.residential']",4.0,3,,0,0,0,0,,0,0,0,8,3,0
13,1195819874,traffic_light,5190.59,1923.13,,False,"[[['103568355#0', '29493932#2', 'GS_1195819874', 's', 'o']], [['97730033#1', '29493932#0', 'GS_cluster_1195819778_1195819792_1231170322_1231170349', 'r', 'o'], ['29493932#0', '29493932#2', 'GS_1195819874', 's', 'o']]]",13.89,0.0,40.855,15.005,"['highway.unclassified', 'highway.unclassified']",5.0,2,,0,0,0,0,,0,0,1,2,24,0
14,1202325182,traffic_light,31012.17,31184.28,,False,"[[['104203571#0', '104203571#2', 'GS_1202325182', 'l', 'o']], [['104203572#0', '104203571#2', 'GS_1202325182', 's', 'o']]]",8.33,0.0,15.955,4.475,"['highway.residential', 'highway.residential']",4.0,2,,0,0,0,0,,0,0,0,8,7,0
15,1218835384,traffic_light,25277.8,7248.58,,False,"[[['34202574+83711702', '79812624#1', '1218835384', 's', 'o']], [['34202574+83711702', '79812624#1', '1218835384', 's', 'o']]]",13.89,0.0,205.23,0.0,"[None, None]",5.0,2,,0,0,0,0,,0,0,1,2,3,0
16,1231163469,traffic_light,3805.2,1414.67,,False,"[[['44952612#1', '169389140', 'GS_1231163469', 's', 'o']], [['97730032#0', '169389143#0', 'GS_1231163469', 'l', 'o']]]",19.44,0.0,325.795,23.835,"['highway.primary', 'highway.primary_link']",8.5,2,,0,0,0,0,,0,0,5,3,3,0
17,1235190271,traffic_light,17893.54,17609.17,,False,"[[['127833692#0', '-127833692#5', '1235190271', 't', 'o']], [['127833692#0', '-127833692#5', '1235190271', 't', 'o']], [['-132526595#3', '132526595#0', '1235190271', 't', 'o']], [['23943542#0', '-23943542#1', '1235190271', 't', 'o']]]",12.5,2.40755062252,299.795,110.55470241,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.residential']",6.25,4,,0,0,0,0,,0,0,2,5,5,0
18,1238704,traffic_light,12814.51,14924.25,,False,"[[['62078860#1', '-151060324#7', 'cluster_2083553505_255072664', 'r', 'o'], ['-151060324#7', '151060324#7', '1238704', 't', 'o']], [['151060324#4', '151060324#6', '33019119', 's', 'o'], ['151060324#6', '-151060324#6', '1238704', 't', 'o']], [['57107410#1', '151060324#7', '1238704', 'l', 'o']]]",13.89,0.0,151.023333333,25.0458796789,"['highway.residential', 'highway.residential', 'highway.tertiary']",4.66666666667,3,,0,0,0,0,,0,0,9,2,3,0
19,1244629301,traffic_light,12279.21,31815.23,,False,"[[['108484303#0', '5412816#2', 'GS_1244629301', 's', 'o']], [['5412816#0', '5412816#2', 'GS_1244629301', 's', 'o']]]",16.67,0.0,37.53,6.39,"['highway.motorway_link', 'highway.motorway_link']",12.0,2,,0,0,0,0,,0,0,1,3,12,0
20,126210510,traffic_light,20964.91,24817.72,,False,"[[['-24148387#2', '24148387#0', '126210510', 't', 'o']], [['-24148387#2', '24148387#0', '126210510', 't', 'o']], [['156720603#1', '-159519793', '126210510', 'l', 'o']], [['156720603#1', '-159519793', '126210510', 'l', 'o']], [['265515834', '159519793', '169421590', 'l', 'o'], ['159519793', '-159519793', '126210510', 't', 'o']], [['265515834', '159519793', '169421590', 'l', 'o'], ['159519793', '-159519793', '126210510', 't', 'o']]]",13.89,0.0,31.49,16.6128885708,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary']",7.0,6,,0,0,0,0,,0,0,3,2,3,0
21,1268736668,traffic_light,19869.92,23570.6,,True,"[[['-26996429#2', '111345512#4', 'GS_1268736668', 'r', 'o']], [['111345512#2', '111345512#4', 'GS_1268736668', 's', 'o']]]",11.11,2.78,38.06,23.65,"['highway.residential', 'highway.residential']",4.0,2,,0,0,0,0,,0,0,0,8,22,0
22,1281903741,traffic_light,29812.69,9330.26,,True,"[[['118855796#0', '112871878#3', 'GS_1281903741', 'r', 'o']], [['112871878#1', '112871878#3', 'GS_1281903741', 's', 'o']]]",13.89,0.0,84.22,62.68,"['highway.residential', 'highway.residential']",4.0,2,,0,0,0,0,,0,0,0,7,3,0
23,128249810,traffic_light,16464.04,24641.45,,True,"[[['90045440#2', '27201371', 'GS_128249810', 's', 'o']], [['13787454#0', '27201371', 'GS_128249810', 's', 'o']]]",8.33,0.0,31.44,8.09,"['highway.secondary', 'highway.secondary']",7.0,2,,0,0,0,0,,0,0,3,8,3,0
24,12950731,traffic_light,12397.48,14257.83,,False,"[[['2837877', '218408984#1', 'GS_12950731', 'r', 'o']], [['4672003#1', '218408984#1', 'GS_12950731', 's', 'o']]]",8.33,0.0,138.03,72.11,"['highway.residential', 'highway.residential']",4.0,2,,0,0,0,0,,0,0,0,8,8,0
25,1300073519,traffic_light,15711.28,13842.64,,False,"[[['61463137#0', '158695463#0', 'GS_1300073519', 's', 'o']], [['61463137#0', '158695463#0', 'GS_1300073519', 's', 'o']], [['61463137#0', '158695463#0', 'GS_1300073519', 's', 'o']], [['61463137#0', '158695463#0', 'GS_1300073519', 's', 'o']], [['61463137#0', '158695463#0', 'GS_1300073519', 's', 'o']], [['114870966#0', '158695463#0', 'GS_1300073519', 'l', 'o']]]",13.89,0.0,69.2766666667,13.7592716215,"['highway.trunk', 'highway.trunk', 'highway.trunk', 'highway.trunk', 'highway.trunk', 'highway.primary_link']",10.5,6,,0,0,0,0,,0,0,1,2,3,0
26,1307661039,traffic_light,14053.1,13736.36,,False,"[[['245991949#0', '301750520#1', 'GS_1307661039', 'l', 'o']], [['245991949#0', '301750520#1', 'GS_1307661039', 'l', 'o']]]",13.89,0.0,38.84,0.0,"['highway.residential', 'highway.residential']",4.0,2,,0,0,0,0,,0,0,0,2,7,0
